City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,lerwick,60.1545,-1.1494,14.0,90,7,3.67,GB,1691705821
348,baikonur,45.6167,63.3167,25.86,40,0,5.51,KZ,1691705821
349,lashio,22.9333,97.75,20.58,100,100,0.66,MM,1691705821
350,lincheng,19.9078,109.6858,27.41,76,74,4.87,CN,1691705821
351,essaouira,31.5125,-9.77,34.72,66,20,3.6,MA,1691705821
352,salem,11.65,78.1667,24.1,89,100,0.48,IN,1691705821
353,houma,29.5958,-90.7195,35.57,59,40,4.12,US,1691705615
354,kirklareli,41.7351,27.2252,17.58,83,51,5.62,TR,1691705821
355,amahai,-3.3333,128.9167,23.9,87,89,2.07,ID,1691705821
356,aykhal,66.0,111.5,15.9,87,100,1.59,RU,1691705822
357,ayame,5.6083,-3.1563,22.52,92,95,1.27,CI,1691705822
